what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1412595036522
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1412595044695
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1412595044914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412595048462
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412595050167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412595050272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1412595050288
started,bundle,org.jboss.tools.cdi.core,1.1.1.v20111025-1225-H178-Final,"org.jboss.tools.cdi.core",1412595050353
started,bundle,org.jboss.tools.esb.validator,1.3.0.v20111111-0222-H200-Final,"org.jboss.tools.esb.validator",1412595050377
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412595054897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412595076153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412595076542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412595077764
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1412595080042
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1412595080138
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1412595080418
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1412595080418
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1412595083979
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1412595084172
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1412595084225
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1412595084411
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1412595084451
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1412595084532
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1412595084552
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1412595084558
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1412595084634
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1412595084682
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1412595084701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412595085012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412595094678
started,bundle,org.jboss.tools.common.text.xml,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.text.xml",1412595094745
started,bundle,org.jboss.tools.vpe,3.2.0.v20111025-2102-H197-Final,"org.jboss.tools.vpe",1412595094778
started,bundle,org.jboss.tools.jst.web.verification,3.1.0.v20111025-0510-H215-Final,"org.jboss.tools.jst.web.verification",1412595098382
started,bundle,org.jboss.tools.jsf.verification,3.1.0.v20111027-1258-H202-Final,"org.jboss.tools.jsf.verification",1412595098437
started,bundle,org.apache.struts2.ide.ui,1.0.0.201409250712,"org.apache.struts2.ide.ui",1412595098710
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.1.0.v20111110-1751-H262-Final,"org.jboss.ide.eclipse.as.ui.mbeans",1412595098776
started,bundle,org.apache.struts2.ide.core,1.0.0.201409250712,"org.apache.struts2.ide.core",1412595098810
started,bundle,org.eclipse.jst.jee.web.xml,1.0.0.201409250712,"org.eclipse.jst.jee.web.xml",1412595098873
started,bundle,org.eclipse.jst.server.jetty.xml.ui,1.0.0.201409250712,"org.eclipse.jst.server.jetty.xml.ui",1412595098919
error,log,,,"  Could not load contentAssists for id: jetty.default.info",1412595098933
started,bundle,org.eclipse.jst.jsp.search.editor,1.0.0.201409250712,"org.eclipse.jst.jsp.search.editor",1412595099037
started,bundle,org.apache.struts2.ide.jsp.core,1.0.0.201409250712,"org.apache.struts2.ide.jsp.core",1412595099038
started,bundle,org.apache.struts2.ide.validators.core,1.0.0.201409250712,"org.apache.struts2.ide.validators.core",1412595099106
started,bundle,org.hibernate.eclipse.mapper,3.4.1.v20111025-0625-H210-Final,"org.hibernate.eclipse.mapper",1412595099234
